Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","47u","C0805",1.500000,-2.400000,-90.000000,top
"C2","10u","C0805",3.750000,-2.400000,-90.000000,top
"C3","100n","C0805",7.250000,-1.400000,0.000000,top
"J1","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",19.858000,-4.264000,0.000000,top
"J2","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",2.332000,-6.311000,0.000000,top
"Q1","AO6604_C709896","TSOP-6_L3.0-W1.5-P0.95-LS2.8-BR",15.000000,-3.850000,180.000000,top
"Q2","AO6604_C709896","TSOP-6_L3.0-W1.5-P0.95-LS2.8-BR",15.000000,-7.600000,180.000000,top
"Q3","AO6604_C709896","TSOP-6_L3.0-W1.5-P0.95-LS2.8-BR",15.000000,-11.350000,180.000000,top
"Q4","AO6604_C5182068","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",95.550000,22.990000,0.000000,top
"Q5","AO6604_C5182068","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",95.550000,18.620000,0.000000,top
"Q6","AO6604_C5182068","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",95.550000,14.250000,0.000000,top
"R1","1k","R0603",6.750000,-3.400000,0.000000,top
"R2","1k","R0603",6.150000,-12.250000,0.000000,top
"R3","10k","R0603",9.150000,-12.250000,0.000000,top
"R4","1k","R0603",6.150000,-10.500000,0.000000,top
"R5","10k","R0603",9.100000,-10.500000,0.000000,top
"R6","10k","R0603",9.750000,-3.400000,0.000000,top
"R8","1k","R0603",11.700000,-11.300000,-90.000000,top
"U1","EFM8BB21F16G-C-QFN20","QFN-20_L3.0-W3.0-P0.50-BL-EP1.7_EFM8BB21F16G",8.000000,-7.150000,0.000000,top

